ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,spend_min,spend_max,ad_url,currency
883644992465715,1550088745275913,DENK,"Nederland moet meer vluchtelingenkinderen opvangen!
Stem DENK op 15,16 en 17 maart!",www.bewegingdenk.nl,,DENK wil een ruimhartiger asielbeleid,2021-01-22,2021-01-28,DENK,5000,0,99,https://www.facebook.com/ads/library/?id=883644992465715,EUR
695410884481950,1550088745275913,DENK,"Islamitisch bankieren moet mogelijk zijn in Nederland. 
Stem DENK op 15,16 en 17 maart!",bewegingdenk.nl,Rentevrij bankierenSteun DENK Een huis kunnen kopen zonder rente: dat moet toch kunnen! Nog steeds is het zo dat er in Nederland onvoldoende mogelijkheden zijn om rentevrij een huis te financieren. Dit wordt in de volksmond ook wel een rentevrije of halal hypotheek genoemd. Hier is echter steeds me...,Rentevrij bankieren moet mogelijk zijn in Nederland!,2021-01-22,2021-01-28,DENK,8000,0,99,https://www.facebook.com/ads/library/?id=695410884481950,EUR
4334468569902115,1550088745275913,DENK,"Islamitisch bankieren moet mogelijk zijn in Nederland. 
Stem DENK op 15,16 en 17 maart!",www.bewegingdenk.nl,,Rentevrij bankieren moet mogelijk zijn in Nederland!,2021-01-22,2021-01-28,DENK,2000,0,99,https://www.facebook.com/ads/library/?id=4334468569902115,EUR
830451674191251,1550088745275913,DENK,"DENK staat pal voor gelijkwaardigheid. Onze strijd is pas gestreden als iedere Nederlander ongeacht huidskleur, afkomst, geaardheid, geslacht of welk ander kenmerk dan ook gewoon het volle potentieel uit zijn of haar leven kan halen. 

Daarom wil DENK korte metten maken met discriminatie.
Stem DENK op 15,16 en 17 maart!",bewegingdenk.nl,MoslimhaatSteun DENK Moslimhaat Vrouwen die zich zorgen maken of ze wel over straat kunnen lopen met een hoofddoek. Aanvallen en vernielingen bij moskeeën. Discriminatie van moslims bij het zoeken van een baan of een stage. In Nederland is er een groot probleem met moslimhaat en moslimdiscriminatie...,Lees meer over dit standpunt,2021-01-22,2021-01-28,DENK,15000,0,99,https://www.facebook.com/ads/library/?id=830451674191251,EUR
872762423498128,1550088745275913,DENK,"DENK staat pal voor gelijkwaardigheid. Onze strijd is pas gestreden als iedere Nederlander ongeacht huidskleur, afkomst, geaardheid, geslacht of welk ander kenmerk dan ook gewoon het volle potentieel uit zijn of haar leven kan halen. 

Daarom wil DENK korte metten maken met discriminatie.
Stem DENK op 15,16 en 17 maart!",www.bewegingdenk.nl,,Lees meer over dit standpunt,2021-01-22,2021-01-28,DENK,2000,0,99,https://www.facebook.com/ads/library/?id=872762423498128,EUR
1788605048008850,1550088745275913,DENK,"DENK staat pal voor gelijkwaardigheid. Onze strijd is pas gestreden als iedere Nederlander ongeacht huidskleur, afkomst, geaardheid, geslacht of welk ander kenmerk dan ook gewoon het volle potentieel uit zijn of haar leven kan halen. 

Daarom wil DENK korte metten maken met discriminatie.
Stem DENK op 15,16 en 17 maart!",bewegingdenk.nl,MoslimhaatSteun DENK Moslimhaat Vrouwen die zich zorgen maken of ze wel over straat kunnen lopen met een hoofddoek. Aanvallen en vernielingen bij moskeeën. Discriminatie van moslims bij het zoeken van een baan of een stage. In Nederland is er een groot probleem met moslimhaat en moslimdiscriminatie...,Lees meer over dit standpunt,2021-01-22,2021-01-28,DENK,15000,0,99,https://www.facebook.com/ads/library/?id=1788605048008850,EUR
1522137464652780,1550088745275913,DENK,"DENK staat pal voor gelijkwaardigheid. Onze strijd is pas gestreden als iedere Nederlander ongeacht huidskleur, afkomst, geaardheid, geslacht of welk ander kenmerk dan ook gewoon het volle potentieel uit zijn of haar leven kan halen. 

Daarom wil DENK korte metten maken met discriminatie.
Stem DENK op 15,16 en 17 maart!",www.bewegingdenk.nl,,Lees meer over dit standpunt,2021-01-22,2021-01-28,DENK,2000,0,99,https://www.facebook.com/ads/library/?id=1522137464652780,EUR
719706785583025,1550088745275913,DENK,"DENK wil dat ondernemers meer steun krijgen tijdens deze coronacrisis!
Stem DENK op 15,16 en 17 maart!",bewegingdenk.nl,"CoronapandemieSteun DENK Steunen van het MKB DENK wil alles in het werk stellen om het MKB de onbetwiste groeiende banenmotor van Nederland te laten blijven. DENK wil daarom: Belastingverlaging voor het MKB Een Nationale Ondernemers Kredietbank, om de kredietverlening aan het midden- en kleinbedrijf...",Wij willen ondernemers steunen!,2021-01-22,2021-03-05,DENK,15000,0,99,https://www.facebook.com/ads/library/?id=719706785583025,EUR
217393163361932,1550088745275913,DENK,"DENK wil dat ondernemers meer steun krijgen tijdens deze coronacrisis!
Stem DENK op 15,16 en 17 maart!",www.bewegingdenk.nl,,Wij willen ondernemers steunen!,2021-01-22,2021-03-05,DENK,4000,0,99,https://www.facebook.com/ads/library/?id=217393163361932,EUR
171330134763436,1550088745275913,DENK,"DENK is voor het herstellen van de basisbeurs van studenten! 
Stem DENK 15, 16 en 17 maart 2021.",bewegingdenk.nl,"Gelijke kansen in het onderwijsSteun DENK Gelijke kansen in het onderwijs Kinderen met lager opgeleide ouders, ouders met een kleine portemonnee of ouders met een migratieachtergrond, hebben minder kansen in het onderwijs. DENK staat ervoor dat elke leerling zo veel mogelijk kansen heeft. DENK w...",Een basisbeurs voor elke student!,2021-01-22,2021-01-28,DENK,10000,0,99,https://www.facebook.com/ads/library/?id=171330134763436,EUR
